Entity,Code,Year,Population,Consumption,Source
Algeria,DZA,1965,12550880,0,Wind
Algeria,DZA,1965,12550880,1.182795882,Hydro
Algeria,DZA,1965,12550880,0,Solar
Algeria,DZA,1965,12550880,0,Nuclear
Algeria,DZA,1965,12550880,0,Biofuels
Algeria,DZA,1965,12550880,0,GeoBiomass
Algeria,DZA,1965,12550880,0.814100027,Coal
Algeria,DZA,1965,12550880,15.4052515,Oil
Algeria,DZA,1965,12550880,7.430500031,Gas
Algeria,DZA,1966,12902626,0,Wind
Algeria,DZA,1966,12902626,1.049731135,Hydro
Algeria,DZA,1966,12902626,0,Solar
Algeria,DZA,1966,12902626,0,Nuclear
Algeria,DZA,1966,12902626,0,Biofuels
Algeria,DZA,1966,12902626,0,GeoBiomass
Algeria,DZA,1966,12902626,0.79084003,Coal
Algeria,DZA,1966,12902626,20.27270508,Oil
Algeria,DZA,1966,12902626,7.719250202,Gas
Algeria,DZA,1967,13275020,0,Wind
Algeria,DZA,1967,13275020,1.212365508,Hydro
Algeria,DZA,1967,13275020,0,Solar
Algeria,DZA,1967,13275020,0,Nuclear
Algeria,DZA,1967,13275020,0,Biofuels
Algeria,DZA,1967,13275020,0,GeoBiomass
Algeria,DZA,1967,13275020,0.604759991,Coal
Algeria,DZA,1967,13275020,18.94203186,Oil
Algeria,DZA,1967,13275020,7.488249779,Gas
Algeria,DZA,1968,13663581,0,Wind
Algeria,DZA,1968,13663581,1.664785028,Hydro
Algeria,DZA,1968,13663581,0,Solar
Algeria,DZA,1968,13663581,0,Nuclear
Algeria,DZA,1968,13663581,0,Biofuels
Algeria,DZA,1968,13663581,0,GeoBiomass
Algeria,DZA,1968,13663581,0.639649987,Coal
Algeria,DZA,1968,13663581,20.16730118,Oil
Algeria,DZA,1968,13663581,7.873250008,Gas
Algeria,DZA,1969,14061724,0,Wind
Algeria,DZA,1969,14061724,1.067473054,Hydro
Algeria,DZA,1969,14061724,0,Solar
Algeria,DZA,1969,14061724,0,Nuclear
Algeria,DZA,1969,14061724,0,Biofuels
Algeria,DZA,1969,14061724,0,GeoBiomass
Algeria,DZA,1969,14061724,0.814100027,Coal
Algeria,DZA,1969,14061724,21.30592918,Oil
Algeria,DZA,1969,14061724,10.35168743,Gas
Algeria,DZA,1970,14464992,0,Wind
Algeria,DZA,1970,14464992,1.715053916,Hydro
Algeria,DZA,1970,14464992,0,Solar
Algeria,DZA,1970,14464992,0,Nuclear
Algeria,DZA,1970,14464992,0,Biofuels
Algeria,DZA,1970,14464992,0,GeoBiomass
Algeria,DZA,1970,14464992,0.96529001,Coal
Algeria,DZA,1970,14464992,24.34768105,Oil
Algeria,DZA,1970,14464992,9.730875015,Gas
Algeria,DZA,1971,14872253,0,Wind
Algeria,DZA,1971,14872253,0.975806415,Hydro
Algeria,DZA,1971,14872253,0,Solar
Algeria,DZA,1971,14872253,0,Nuclear
Algeria,DZA,1971,14872253,0,Biofuels
Algeria,DZA,1971,14872253,0,GeoBiomass
Algeria,DZA,1971,14872253,0.26749,Coal
Algeria,DZA,1971,14872253,27.44005013,Oil
Algeria,DZA,1971,14872253,11.04950047,Gas
Algeria,DZA,1972,15285992,0,Wind
Algeria,DZA,1972,15285992,1.463709712,Hydro
